"id","popedom_name","popedom_father","popedom_url","idd"
23,"新闻管理",0,,4
25,"新闻分类管理",23,"Admin_Class.asp?ParentID=2",3
32,"产品管理",0,,5
33,"管理产品",32,"Admin_ProList.asp",2
34,"添加产品",32,"Admin_ProList.asp?Action=Add",1
43,"系统管理",0,,1
44,"网站探针",43,"Admin_ServerInfo.asp",1
45,"日志管理",43,"Admin_Log.asp",2
67,"链接管理",0,,11
68,"添加链接大类",67,"Admin_AddBigType.asp",1
69,"修改|删除链接",67,"Admin_LinkType.asp",2
79,"添加链接小类",67,"Admin_AddSmallType.asp",3
166,"产品分类管理",32,"Admin_Class.asp?ParentID=3",4
168,"管理员添加",43,"Admin_Admin.asp?Action=Add",4
169,"管理员管理",43,"Admin_Admin.asp",4
177,"留言管理",0,,8
178,"留言列表",177,"Admin_Msg.asp",1
186,"添加新闻",23,"Admin_NewsList.asp?Action=Add",1
187,"新闻列表",23,"Admin_NewsList.asp",2
218,"添加",217,"Admin_Ad.asp?action=Add",1
219,"查看",217,"admin_ad.asp",2
221,"添加",220,"admin_down.asp?action=Add",1
222,"查看",220,"admin_down.asp",2
223,"会员管理",0,,14
224,"会员管理",223,"Admin_User.asp",1
217,"友情链接管理",0,,12
220,"下载",0,,13
